Ticker,Company Name,Market Cap (USD),P/E Ratio,Dividend Yield,ROE,Debt,Revenue Growth,Sector,Industry,Currency
LNT,Alliant Energy Corporation,18183634944.0,22.053457,3.02,0.11135,12117999616.0,0.01,Utilities,Utilities - Regulated Electric,USD
AVY,Avery Dennison Corporation,13285997568.0,19.024645,2.31,0.3116,3678200064.0,0.109,Consumer Cyclical,Packaging & Containers,USD
BAX,Baxter International Inc.,14222560256.0,,0.76,-0.14371,9667000320.0,0.053,Healthcare,Medical Instruments & Supplies,USD
TPR,"Tapestry, Inc.",32049344512.0,48.361282,1.03,0.60914004,3923200000.0,0.212,Consumer Cyclical,Luxury Goods,USD
VTRS,Viatris Inc.,20618405888.0,,2.71,-0.01957,14609999872.0,0.081,Healthcare,Drug Manufacturers - Specialty & Generic,USD
CF,"CF Industries Holdings, Inc.",18000742400.0,10.555856,1.92,0.273,3620000000.0,0.194,Basic Materials,Agricultural Inputs,USD
FFIV,"F5, Inc.",23600973824.0,32.779797,,0.1983,218700000.0,0.109,Technology,Software - Infrastructure,USD
DPZ,"Domino's Pizza, Inc.",12066232320.0,19.705023,2.29,,5122852864.0,0.043,Consumer Cyclical,Restaurants,USD
AKAM,"Akamai Technologies, Inc.",17984180224.0,41.79054,,0.091680005,5867704832.0,0.058,Technology,Software - Infrastructure,USD
RL,Ralph Lauren Corporation,22747148288.0,25.328032,0.98,0.34664002,3009400064.0,0.166,Consumer Cyclical,Apparel Manufacturing,USD
TXT,Textron Inc.,15452643328.0,16.735405,0.09,0.12126,4211000064.0,0.03,Industrials,Aerospace & Defense,USD
SWKS,"Skyworks Solutions, Inc.",10089232384.0,34.756477,4.56,0.05094,681100032.0,-0.031,Technology,Semiconductors,USD
EVRG,"Evergy, Inc.",19155632128.0,22.101063,3.35,0.08866999,15876299776.0,0.05,Utilities,Utilities - Regulated Electric,USD
EPAM,"EPAM Systems, Inc.",5710840832.0,15.70546,,0.10932,287943008.0,0.076,Technology,Information Technology Services,USD
DOC,"Healthpeak Properties, Inc.",15087950848.0,62.528572,5.59,0.027999999,10712860672.0,0.071,Real Estate,REIT - Healthcare Facilities,USD
APTV,Aptiv PLC,9942990848.0,21.260181,,0.040799998,9886000128.0,0.054,Consumer Cyclical,Auto Parts,USD
RVTY,"Revvity, Inc.",12757976064.0,54.98077,0.25,0.03227,3350179072.0,0.07,Healthcare,Diagnostics & Research,USD
AMCR,Amcor plc,22016901120.0,37.496063,5.79,0.08737001,16762999808.0,0.774,Consumer Cyclical,Packaging & Containers,USD
REG,Regency Centers Corporation,14756653056.0,26.575758,3.76,0.081870005,5143506944.0,0.089,Real Estate,REIT - Retail,USD
POOL,Pool Corporation,7450398208.0,18.84329,2.8,0.31254998,1695165952.0,0.022,Industrials,Industrial Distribution,USD
INCY,Incyte Corporation,24339945472.0,15.296816,,0.30667,38267000.0,0.377,Healthcare,Biotechnology,USD
BXP,"BXP, Inc.",12446138368.0,37.526882,3.96,0.05308,16358486016.0,0.038,Real Estate,REIT - Office,USD
KMX,"CarMax, Inc.",8128667648.0,35.57764,,0.03588,18832211968.0,0.055,Consumer Cyclical,Auto & Truck Dealerships,USD
CAG,"Conagra Brands, Inc.",7128235520.0,,8.22,-0.25064,7475100160.0,0.036,Consumer Defensive,Packaged Foods,USD
HST,"Host Hotels & Resorts, Inc.",17503723520.0,17.163265,3.18,0.1487,5645000192.0,0.028,Real Estate,REIT - Hotel & Motel,USD
JKHY,"Jack Henry & Associates, Inc.",10903808000.0,21.433659,1.54,0.24892001,136587008.0,0.087,Technology,Information Technology Services,USD
SWK,"Stanley Black & Decker, Inc.",15559243776.0,25.190708,3.28,0.06886,5211500032.0,0.004,Industrials,Tools & Accessories,USD
DVA,DaVita Inc.,11954456576.0,18.45887,,0.80981004,13220841472.0,0.06,Healthcare,Medical Care Facilities,USD
CPB,The Campbell's Company,6812521472.0,11.198529,7.1,0.15389,7336000000.0,-0.044,Consumer Defensive,Packaged Foods,USD
CHRW,"C.H. Robinson Worldwide, Inc.",17969385472.0,29.291428,1.63,0.37123,1972571008.0,0.193,Industrials,Integrated Freight & Logistics,USD
JNPR,N/A,,,,,,,N/A,N/A,USD
CPT,Camden Property Trust,10991128576.0,36.60726,3.82,0.07885,4873028096.0,-0.008,Real Estate,REIT - Residential,USD
TAP,Molson Coors Beverage Company,7821829632.0,,4.62,-0.18080999,6485300224.0,0.02,Consumer Defensive,Beverages - Brewers,USD
NDSN,Nordson Corporation,17314072576.0,33.234756,1.06,0.1714,1973748992.0,0.085,Industrials,Specialty Industrial Machinery,USD
PAYC,"Paycom Software, Inc.",8114047488.0,19.37862,0.91,0.37147,763600000.0,0.078,Technology,Software - Application,USD
UHS,"Universal Health Services, Inc.",10367455232.0,6.961788,0.47,0.20948,5262175232.0,0.083,Healthcare,Medical Care Facilities,USD
NCLH,Norwegian Cruise Line Holdings Ltd.,9351360512.0,12.342424,,0.3673,16259284992.0,0.049,Consumer Cyclical,Travel Services,USD
DAY,N/A,,,,,,,N/A,N/A,USD
SJM,The J. M. Smucker Company,12694218752.0,,3.76,-0.02386,7129800192.0,0.058,Consumer Defensive,Packaged Foods,USD
TECH,Bio-Techne Corporation,11221482496.0,102.88571,0.44,0.053400002,290321984.0,-0.015,Healthcare,Biotechnology,USD
SOLV,Solventum Corporation,14910343168.0,10.538555,,0.34794998,5290999808.0,-0.03,Healthcare,Medical Instruments & Supplies,USD
ALLE,Allegion plc,14265769984.0,22.015747,1.35,0.3373,2222299904.0,0.127,Industrials,Security & Protection Services,USD
BG,Bunge Global SA,20716206080.0,23.239225,2.71,0.071779996,17061000192.0,0.883,Consumer Defensive,Farm Products,USD
AIZ,"Assurant, Inc.",14824157184.0,14.315311,1.25,0.18341999,2208100096.0,0.094,Financial Services,Insurance - Property & Casualty,USD
IPG,N/A,,,,,,,N/A,N/A,USD
BEN,"Franklin Resources, Inc.",17714102272.0,23.717688,3.9,0.07887,3572100096.0,0.143,Financial Services,Asset Management,USD
EMN,Eastman Chemical Company,8373853696.0,19.07422,4.8,0.07334,5465999872.0,0.099,Basic Materials,Specialty Chemicals,USD
ALB,Albemarle Corporation,14087292928.0,,1.39,-0.0182,2005991040.0,0.327,Basic Materials,Specialty Chemicals,USD
MGM,MGM Resorts International,11440388096.0,27.1,,0.18924999,30158688256.0,0.01,Consumer Cyclical,Resorts & Casinos,USD
AOS,A. O. Smith Corporation,8623398912.0,17.479338,2.39,0.27133,677200000.0,-0.007,Industrials,Specialty Industrial Machinery,USD
WYNN,"Wynn Resorts, Limited",10649555968.0,29.74203,1.01,,12159864832.0,0.092,Consumer Cyclical,Resorts & Casinos,USD
PNW,Pinnacle West Capital Corporation,12271219712.0,19.43378,3.6,0.09559,15143285760.0,0.114,Utilities,Utilities - Regulated Electric,USD
ENPH,"Enphase Energy, Inc.",5145402880.0,38.653465,,0.12996,613364992.0,-0.196,Technology,Solar,USD
LKQ,LKQ Corporation,6096084992.0,12.885026,5.35,0.07131,5312999936.0,-0.03,Consumer Cyclical,Auto Parts,USD
FRT,Federal Realty Investment Trust,10583184384.0,24.59798,3.78,0.12550999,4851821056.0,0.072,Real Estate,REIT - Retail,USD
CRL,"Charles River Laboratories International, Inc.",12466048000.0,,,-0.0587,3064531968.0,0.012,Healthcare,Diagnostics & Research,USD
GNRC,Generac Holdings Inc.,13027049472.0,49.728092,,0.09491,1502375040.0,0.106,Industrials,Specialty Industrial Machinery,USD
AES,The AES Corporation,10483418112.0,7.65625,4.79,0.052600004,31804000256.0,0.087,Utilities,Utilities - Diversified,USD
GL,Globe Life Inc.,14238883840.0,12.072745,0.72,,3260583936.0,0.08,Financial Services,Insurance - Life,USD
LW,"Lamb Weston Holdings, Inc.",7326477312.0,25.620193,2.86,0.16280001,4037100032.0,0.056,Consumer Defensive,Packaged Foods,USD
HSIC,"Henry Schein, Inc.",10197827584.0,26.099123,,0.08762,3748999936.0,0.063,Healthcare,Medical Distribution,USD
MKTX,MarketAxess Holdings Inc.,5714621952.0,19.193853,1.92,0.2314,178912992.0,-0.005,Financial Services,Capital Markets,USD
MTCH,"Match Group, Inc.",8893286400.0,14.551527,1.94,,3551877888.0,-0.012,Communication Services,Internet Content & Information,USD
TFX,Teleflex Incorporated,6152009728.0,2316.0833,0.99,0.00037999998,2738699008.0,0.323,Healthcare,Medical Instruments & Supplies,USD
WBA,N/A,,,,,,,N/A,N/A,USD
HAS,"Hasbro, Inc.",12925315072.0,16.7532,2.98,1.5956,3878200064.0,0.162,Consumer Cyclical,Leisure,USD
IVZ,Invesco Ltd.,14105925632.0,,2.69,-0.0057300003,1624000000.0,0.205,Financial Services,Asset Management,USD
APA,APA Corporation,12401503232.0,8.178322,2.68,0.26217,4536000000.0,-0.119,Energy,Oil & Gas E&P,USD
MOS,The Mosaic Company,7412184064.0,166.57143,3.98,0.0059399996,5762500096.0,0.144,Basic Materials,Agricultural Inputs,USD
PARA,N/A,,,,,,,N/A,N/A,USD
MHK,"Mohawk Industries, Inc.",9267933184.0,16.787731,,0.055120002,2358700032.0,0.068,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USD
CE,Celanese Corporation,4703426048.0,,0.27,-0.21109,12904999936.0,-0.022,Basic Materials,Chemicals,USD
HII,"Huntington Ingalls Industries, Inc.",12542877696.0,18.947025,1.71,0.12968001,2935000064.0,0.109,Industrials,Aerospace & Defense,USD
CZR,"Caesars Entertainment, Inc.",6126889984.0,,,-0.103769995,25924999168.0,0.03,Consumer Cyclical,Resorts & Casinos,USD
BWA,BorgWarner Inc.,13776545792.0,39.04942,1.08,0.072670005,4072999936.0,0.005,Consumer Cyclical,Auto Parts,USD
QRVO,"Qorvo, Inc.",8419526656.0,22.143852,,0.115559995,1549138048.0,-0.042,Technology,Semiconductors,USD
FMC,FMC Corporation,1372486144.0,,2.99,-0.88376,4402699776.0,-0.175,Basic Materials,Agricultural Inputs,USD
AMTM,"Amentum Holdings, Inc.",5729218048.0,39.083332,,0.028870001,3927000064.0,-0.004,Industrials,Specialty Business Services,USD
